Date,spend_all,spend_acf,cityname,stateabbrev,city_pop2019
2022-11-30,0.209,0.0463,Atlanta,GA,1063937
2022-11-30,0.0215,-0.11,Kansas City,MO,703011
2022-12-31,-0.111,-0.161,Los Angeles,CA,10039107
2022-12-31,0.275,0.105,Chicago,IL,5150233
2022-12-31,0.0248,-0.0424,Dallas,TX,2635516
2022-12-31,0.0649,0.0167,Austin,TX,1273954
2022-12-31,0.0543,0.0173,Charlotte,NC,1110356
2022-12-31,0.336,0.166,Boston,MA,803907
2022-12-31,0.0747,-0.0122,Denver,CO,727211
2022-12-31,0.178,0.0911,Atlanta,GA,1063937
2022-12-31,0.0161,-0.000517,Kansas City,MO,703011
2023-01-31,-0.0848,-0.122,Los Angeles,CA,10039107
2023-01-31,0.308,0.197,Chicago,IL,5150233
2023-01-31,0.0576,0.00971,Dallas,TX,2635516
2023-01-31,0.103,0.0234,Austin,TX,1273954
2023-01-31,0.0628,0.00669,Charlotte,NC,1110356
2023-01-31,0.322,0.145,Boston,MA,803907
2023-01-31,0.115,-0.00534,Denver,CO,727211
2023-01-31,0.14,0.0869,Atlanta,GA,1063937
2023-01-31,0.0955,0.108,Kansas City,MO,703011
2023-02-28,-0.0877,-0.143,Los Angeles,CA,10039107
2023-02-28,0.367,0.233,Chicago,IL,5150233
2023-02-28,0.125,0.00826,Dallas,TX,2635516
2023-02-28,0.166,0.0875,Austin,TX,1273954
2023-02-28,0.136,0.0357,Charlotte,NC,1110356
2023-02-28,0.319,0.118,Boston,MA,803907
2023-02-28,0.156,0.0314,Denver,CO,727211
2023-02-28,0.195,0.102,Atlanta,GA,1063937
2023-02-28,0.102,0.158,Kansas City,MO,703011
2023-03-31,-0.0599,-0.155,Los Angeles,CA,10039107
2023-03-31,0.371,0.137,Chicago,IL,5150233
2023-03-31,0.118,-0.0309,Dallas,TX,2635516
2023-03-31,0.149,0.00455,Austin,TX,1273954
2023-03-31,0.136,0.0149,Charlotte,NC,1110356
2023-03-31,0.355,0.107,Boston,MA,803907
2023-03-31,0.169,0.00166,Denver,CO,727211
2023-03-31,0.201,0.061,Atlanta,GA,1063937
2023-03-31,0.0845,0.11,Kansas City,MO,703011
2023-04-30,-0.0982,-0.123,Los Angeles,CA,10039107
2023-04-30,0.345,0.229,Chicago,IL,5150233
2023-04-30,0.0856,0.0428,Dallas,TX,2635516
2023-04-30,0.111,0.058,Austin,TX,1273954
2023-04-30,0.0758,0.0626,Charlotte,NC,1110356
2023-04-30,0.264,0.139,Boston,MA,803907
2023-04-30,0.112,0.0699,Denver,CO,727211
2023-04-30,0.159,0.0972,Atlanta,GA,1063937
2023-04-30,0.0331,0.136,Kansas City,MO,703011
2023-05-31,-0.0755,-0.156,Los Angeles,CA,10039107
2023-05-31,0.327,0.165,Chicago,IL,5150233
2023-05-31,0.0794,-0.00917,Dallas,TX,2635516
2023-05-31,0.125,0.0103,Austin,TX,1273954
2023-05-31,0.0856,0.0362,Charlotte,NC,1110356
2023-05-31,0.326,0.207,Boston,MA,803907
2023-05-31,0.123,0.0253,Denver,CO,727211
2023-05-31,0.17,0.0905,Atlanta,GA,1063937
2023-05-31,0.0659,0.0718,Kansas City,MO,703011
2023-06-30,-0.0568,-0.145,Los Angeles,CA,10039107
2023-06-30,0.348,0.189,Chicago,IL,5150233
2023-06-30,0.121,0.00315,Dallas,TX,2635516
2023-06-30,0.152,0.000459,Austin,TX,1273954
2023-06-30,0.131,0.028,Charlotte,NC,1110356
2023-06-30,0.442,0.167,Boston,MA,803907
2023-06-30,0.163,0.0128,Denver,CO,727211
2023-06-30,0.217,0.0569,Atlanta,GA,1063937
2023-06-30,0.0842,0.0531,Kansas City,MO,703011
2023-07-31,-0.0921,-0.127,Los Angeles,CA,10039107
2023-07-31,0.285,0.187,Chicago,IL,5150233
2023-07-31,0.0686,0.00179,Dallas,TX,2635516
2023-07-31,0.108,0.0533,Austin,TX,1273954
2023-07-31,0.0795,0.0501,Charlotte,NC,1110356
2023-07-31,0.315,0.184,Boston,MA,803907
2023-07-31,0.129,0.0593,Denver,CO,727211
2023-07-31,0.167,0.0565,Atlanta,GA,1063937
2023-07-31,0.0642,0.134,Kansas City,MO,703011
2023-08-31,-0.073,-0.199,Los Angeles,CA,10039107
2023-08-31,0.346,0.113,Chicago,IL,5150233
2023-08-31,0.117,-0.0536,Dallas,TX,2635516
2023-08-31,0.131,-0.0215,Austin,TX,1273954
2023-08-31,0.125,0.0462,Charlotte,NC,1110356
2023-08-31,0.36,0.075,Boston,MA,803907
2023-08-31,0.145,0.0214,Denver,CO,727211
2023-08-31,0.22,0.0434,Atlanta,GA,1063937
2023-08-31,0.117,0.0723,Kansas City,MO,703011
2023-09-30,-0.0421,-0.162,Los Angeles,CA,10039107
2023-09-30,0.382,0.165,Chicago,IL,5150233
2023-09-30,0.129,0.0179,Dallas,TX,2635516
2023-09-30,0.173,0.0509,Austin,TX,1273954
2023-09-30,0.152,0.0979,Charlotte,NC,1110356
2023-09-30,0.376,-0.00419,Boston,MA,803907
2023-09-30,0.179,0.0636,Denver,CO,727211
2023-09-30,0.242,0.117,Atlanta,GA,1063937
2023-09-30,0.114,0.0947,Kansas City,MO,703011
2023-10-31,-0.0652,-0.166,Los Angeles,CA,10039107
2023-10-31,0.31,0.152,Chicago,IL,5150233
2023-10-31,0.119,0.00898,Dallas,TX,2635516
2023-10-31,0.127,0.0479,Austin,TX,1273954
2023-10-31,0.101,0.0358,Charlotte,NC,1110356
2023-10-31,0.296,0.0473,Boston,MA,803907
2023-10-31,0.128,0.0516,Denver,CO,727211
2023-10-31,0.225,0.146,Atlanta,GA,1063937
2023-10-31,0.0482,0.0865,Kansas City,MO,703011
2023-11-30,-0.0407,-0.194,Los Angeles,CA,10039107
2023-11-30,0.305,0.0782,Chicago,IL,5150233
2023-11-30,0.13,-0.0311,Dallas,TX,2635516
2023-11-30,0.161,-0.00353,Austin,TX,1273954
2023-11-30,0.122,-0.00848,Charlotte,NC,1110356
2023-11-30,0.424,0.0532,Boston,MA,803907
2023-11-30,0.191,-0.00106,Denver,CO,727211
2023-11-30,0.274,0.083,Atlanta,GA,1063937
2023-11-30,0.0992,-0.0693,Kansas City,MO,703011
2023-12-31,-0.0989,-0.143,Los Angeles,CA,10039107
2023-12-31,0.175,0.0669,Chicago,IL,5150233
2023-12-31,0.0194,-0.0228,Dallas,TX,2635516
2023-12-31,0.0738,0.0439,Austin,TX,1273954
2023-12-31,0.0288,-0.00277,Charlotte,NC,1110356
2023-12-31,0.362,0.143,Boston,MA,803907
2023-12-31,0.0428,-0.00317,Denver,CO,727211
2023-12-31,0.181,0.133,Atlanta,GA,1063937
2023-12-31,-0.0185,-0.0248,Kansas City,MO,703011
2024-01-31,-0.0679,-0.13,Los Angeles,CA,10039107
2024-01-31,0.269,0.0847,Chicago,IL,5150233
2024-01-31,0.118,-0.0315,Dallas,TX,2635516
2024-01-31,0.157,0.0211,Austin,TX,1273954
2024-01-31,0.0939,-0.0256,Charlotte,NC,1110356
2024-01-31,0.376,0.087,Boston,MA,803907
2024-01-31,0.0985,0.0058,Denver,CO,727211
2024-01-31,0.193,0.0609,Atlanta,GA,1063937
2024-01-31,0.117,0.0805,Kansas City,MO,703011
2024-02-29,-0.0521,-0.133,Los Angeles,CA,10039107
2024-02-29,0.36,0.185,Chicago,IL,5150233
2024-02-29,0.202,0.0528,Dallas,TX,2635516
2024-02-29,0.216,0.114,Austin,TX,1273954
2024-02-29,0.185,0.0743,Charlotte,NC,1110356
2024-02-29,0.453,0.207,Boston,MA,803907
2024-02-29,0.231,0.0575,Denver,CO,727211
2024-02-29,0.264,0.162,Atlanta,GA,1063937
2024-02-29,0.113,0.175,Kansas City,MO,703011
2024-03-31,-0.0594,-0.134,Los Angeles,CA,10039107
2024-03-31,0.328,0.138,Chicago,IL,5150233
2024-03-31,0.148,-0.0168,Dallas,TX,2635516
2024-03-31,0.192,0.0398,Austin,TX,1273954
2024-03-31,0.157,0.025,Charlotte,NC,1110356
2024-03-31,0.407,0.179,Boston,MA,803907
2024-03-31,0.207,0.0434,Denver,CO,727211
2024-03-31,0.258,0.0974,Atlanta,GA,1063937
2024-03-31,0.117,0.165,Kansas City,MO,703011
2024-04-30,-0.0593,-0.152,Los Angeles,CA,10039107
2024-04-30,0.354,0.157,Chicago,IL,5150233
2024-04-30,0.178,0.0343,Dallas,TX,2635516
2024-04-30,0.193,0.141,Austin,TX,1273954
2024-04-30,0.131,0.0489,Charlotte,NC,1110356
2024-04-30,0.366,0.167,Boston,MA,803907
2024-04-30,0.179,0.0453,Denver,CO,727211
2024-04-30,0.253,0.114,Atlanta,GA,1063937
2024-04-30,0.11,0.158,Kansas City,MO,703011
2024-05-31,-0.0578,-0.149,Los Angeles,CA,10039107
2024-05-31,0.332,0.176,Chicago,IL,5150233
2024-05-31,0.12,0.00315,Dallas,TX,2635516
2024-05-31,0.159,0.106,Austin,TX,1273954
2024-05-31,0.119,0.0409,Charlotte,NC,1110356
2024-05-31,0.343,0.205,Boston,MA,803907
2024-05-31,0.164,0.0264,Denver,CO,727211
2024-05-31,0.228,0.135,Atlanta,GA,1063937
2024-05-31,0.149,0.135,Kansas City,MO,703011
2024-06-30,-0.0654,-0.167,Los Angeles,CA,10039107
2024-06-30,0.318,0.155,Chicago,IL,5150233
2024-06-30,0.118,-0.00831,Dallas,TX,2635516
2024-06-30,0.159,0.0263,Austin,TX,1273954
2024-06-30,0.13,0.0234,Charlotte,NC,1110356
2024-06-30,0.454,0.174,Boston,MA,803907
2024-06-30,0.183,0.00781,Denver,CO,727211
2024-06-30,0.241,0.0763,Atlanta,GA,1063937
2024-06-30,0.155,0.0779,Kansas City,MO,703011
2024-07-31,-0.0598,-0.151,Los Angeles,CA,10039107
2024-07-31,0.302,0.102,Chicago,IL,5150233
2024-07-31,0.114,-0.0267,Dallas,TX,2635516
2024-07-31,0.151,0.0638,Austin,TX,1273954
2024-07-31,0.117,-0.00395,Charlotte,NC,1110356
2024-07-31,0.417,0.121,Boston,MA,803907
2024-07-31,0.176,0.00782,Denver,CO,727211
2024-07-31,0.24,0.0445,Atlanta,GA,1063937
2024-07-31,0.132,0.119,Kansas City,MO,703011
2024-08-31,-0.0794,-0.192,Los Angeles,CA,10039107
2024-08-31,0.3,0.0965,Chicago,IL,5150233
2024-08-31,0.126,-0.0252,Dallas,TX,2635516
2024-08-31,0.155,0.0579,Austin,TX,1273954
2024-08-31,0.121,0.021,Charlotte,NC,1110356
2024-08-31,0.345,-0.0151,Boston,MA,803907
2024-08-31,0.148,0.0191,Denver,CO,727211
2024-08-31,0.246,0.0654,Atlanta,GA,1063937
2024-08-31,0.104,0.0923,Kansas City,MO,703011
2024-09-30,-0.0492,-0.166,Los Angeles,CA,10039107
2024-09-30,0.308,0.112,Chicago,IL,5150233
2024-09-30,0.14,0.0103,Dallas,TX,2635516
2024-09-30,0.183,0.104,Austin,TX,1273954
2024-09-30,0.137,0.0346,Charlotte,NC,1110356
2024-09-30,0.405,-0.00773,Boston,MA,803907
2024-09-30,0.171,-0.00412,Denver,CO,727211
2024-09-30,0.268,0.106,Atlanta,GA,1063937
2024-09-30,0.114,0.0832,Kansas City,MO,703011
2024-10-31,-0.0407,-0.163,Los Angeles,CA,10039107
2024-10-31,0.343,0.142,Chicago,IL,5150233
2024-10-31,0.159,0.0217,Dallas,TX,2635516
2024-10-31,0.184,0.146,Austin,TX,1273954
