City,Host_status,Month,Baseline,Actual,Deviation,CI_lower,CI_upper,Outside_CI
Los Angeles,Host,Jun,-0.13661101163495473,-0.17,-0.03338898836504528,-0.1677949341387231,-0.10542708913118636,True
Los Angeles,Host,Jul,-0.14125591704454077,-0.165,-0.02374408295545924,-0.1743048024657406,-0.10820703162334094,False
Denver,Non-Host,Jun,0.010804138274455904,0.00334,-0.007464138274455904,-0.03316466620961443,0.05477294275852625,False
Denver,Non-Host,Jul,0.01913336687321312,-0.0366,-0.05573336687321312,-0.025886121277376294,0.06415285502380252,True
Dallas,Host,Jun,0.006536751904768531,-0.0308,-0.03733675190476853,-0.04199987956829383,0.055073383377830895,False
Dallas,Host,Jul,0.005309762286076803,-0.0559,-0.0612097622860768,-0.04323144325135246,0.05385096782350607,True
Chicago,Non-Host,Jun,0.2629305819971521,0.223,-0.039930581997152076,0.19248775547329633,0.33337340852100783,False
Chicago,Non-Host,Jul,0.248679302008209,0.199,-0.049679302008209,0.1711653931735538,0.32619321084286423,False
Boston,Host,Jun,0.2259786959992207,0.094,-0.1319786959992207,0.1354046792960366,0.3165527127024048,True
Boston,Host,Jul,0.216823789643039,0.135,-0.08182378964303899,0.12283628440464234,0.31081129488143566,False
Atlanta,Host,Jun,0.11520583635132393,0.0734,-0.04180583635132393,0.05420728798897206,0.1762043847136758,False
Atlanta,Host,Jul,0.1018569030568929,0.0556,-0.04625690305689291,0.033107987635968936,0.17060581847781686,False
Kansas City,Host,Jun,0.272958600458624,0.138,-0.134958600458624,0.20118245480699212,0.3447347461102559,True
Kansas City,Host,Jul,0.32131583527239715,0.176,-0.14531583527239716,0.21980903663698276,0.42282263390781155,True
Austin,Non-Host,Jun,0.13063723415346826,0.0618,-0.06883723415346826,0.07687969264923435,0.18439477565770218,True
Austin,Non-Host,Jul,0.15336549730430576,0.0715,-0.08186549730430577,0.09716781884945072,0.2095631757591608,True
Charlotte,Non-Host,Jun,0.019696445937206087,-0.0316,-0.05129644593720609,-0.03167732993328495,0.07107022180769713,False
Charlotte,Non-Host,Jul,0.014060955044624814,-0.0426,-0.05666095504462482,-0.038725002387023685,0.0668469124762733,True
